Abasto,Cultura,E_basica,E_media,E_superior,Empleo,Espacio_ab,Est_Tpte,Pob_2010,Salud_cama,Salud_cons,cve_ent,cve_mun,cve_sun,cvegeo,gmu,iisu_cd,iisu_sun,sun
79.0,1.0,2.0,1.0,0.0,981.0,0.0,0.0,41,0.0,6.0,03,003,M03.01,0300300012036024,medio,Alto,Intermedio,La Paz
81.0,1.0,2.0,1.0,0.0,1162.0,0.0,0.0,45,0.0,6.0,03,003,M03.01,0300300012036029,medio,Alto,Intermedio,La Paz
81.0,1.0,2.0,1.0,0.0,1162.0,0.0,0.0,62,0.0,6.0,03,003,M03.01,0300300012036023,medio,Alto,Intermedio,La Paz
51.0,0.0,2.0,0.0,0.0,356.0,0.0,0.0,59,0.0,6.0,03,003,M03.01,0300300012036014,medio,Alto,Intermedio,La Paz
43.0,0.0,0.0,0.0,0.0,199.0,0.0,0.0,97,0.0,6.0,03,003,M03.01,0300300013496001,alto,Intermedio,Bajo,La Paz
43.0,0.0,0.0,0.0,0.0,199.0,0.0,0.0,42,0.0,6.0,03,003,M03.01,0300300013496004,alto,Intermedio,Bajo,La Paz
43.0,0.0,0.0,0.0,0.0,199.0,0.0,0.0,152,0.0,6.0,03,003,M03.01,0300300013496002,alto,Intermedio,Bajo,La Paz
59.0,1.0,3.0,1.0,0.0,809.0,0.0,0.0,53,0.0,6.0,03,003,M03.01,0300300013049021,medio,Intermedio,Intermedio,La Paz
94.0,4.0,3.0,1.0,1.0,10150.0,0.0,0.0,35,2.0,40.0,03,003,M03.01,0300300012125036,bajo,Alto,Alto,La Paz
100.0,4.0,1.0,1.0,0.0,5294.0,0.0,0.0,32,2.0,20.0,03,003,M03.01,0300300012125012,bajo,Alto,Alto,La Paz
80.0,4.0,1.0,1.0,0.0,3602.0,0.0,0.0,42,0.0,6.0,03,003,M03.01,0300300012125011,bajo,Alto,Alto,La Paz
100.0,4.0,1.0,1.0,0.0,5294.0,0.0,0.0,11,2.0,20.0,03,003,M03.01,0300300012125014,bajo,Alto,Alto,La Paz
102.0,4.0,4.0,1.0,0.0,7081.0,0.0,0.0,0,2.0,20.0,03,003,M03.01,0300300012214048,s/p,S/P,S/P,La Paz
84.0,1.0,2.0,1.0,0.0,1823.0,0.0,0.0,26,0.0,6.0,03,003,M03.01,0300300013034017,medio,Intermedio,Intermedio,La Paz
80.0,4.0,1.0,1.0,0.0,3602.0,0.0,0.0,37,0.0,6.0,03,003,M03.01,0300300013034002,medio,Intermedio,Intermedio,La Paz
80.0,4.0,1.0,1.0,0.0,3602.0,0.0,0.0,71,0.0,6.0,03,003,M03.01,0300300013034008,medio,Intermedio,Intermedio,La Paz
37.0,3.0,0.0,0.0,0.0,5774.0,0.0,0.0,29,0.0,20.0,03,003,M03.01,0300300012125022,bajo,Alto,Alto,La Paz
37.0,3.0,0.0,0.0,0.0,5774.0,0.0,0.0,75,0.0,20.0,03,003,M03.01,0300300013034007,medio,Intermedio,Intermedio,La Paz
37.0,3.0,0.0,0.0,0.0,5774.0,0.0,0.0,48,0.0,20.0,03,003,M03.01,0300300013034001,medio,Intermedio,Intermedio,La Paz
80.0,4.0,1.0,1.0,0.0,3602.0,0.0,0.0,39,0.0,6.0,03,003,M03.01,0300300013034012,medio,Intermedio,Intermedio,La Paz
84.0,1.0,2.0,1.0,0.0,1823.0,0.0,0.0,113,0.0,6.0,03,003,M03.01,0300300013034018,medio,Intermedio,Intermedio,La Paz
84.0,1.0,2.0,1.0,0.0,1823.0,0.0,0.0,13,0.0,6.0,03,003,M03.01,0300300013034027,medio,Intermedio,Intermedio,La Paz
80.0,4.0,1.0,1.0,0.0,3602.0,0.0,0.0,37,0.0,6.0,03,003,M03.01,0300300012125010,bajo,Alto,Alto,La Paz
109.0,4.0,2.0,1.0,1.0,8956.0,0.0,0.0,69,2.0,40.0,03,003,M03.01,0300300012125030,bajo,Alto,Alto,La Paz
109.0,4.0,2.0,1.0,1.0,8956.0,0.0,0.0,87,2.0,40.0,03,003,M03.01,0300300012214025,bajo,Alto,Alto,La Paz
100.0,4.0,1.0,1.0,0.0,5294.0,0.0,0.0,64,2.0,20.0,03,003,M03.01,0300300012125025,bajo,Alto,Alto,La Paz
80.0,4.0,1.0,1.0,0.0,3602.0,0.0,0.0,45,0.0,6.0,03,003,M03.01,0300300012125009,bajo,Alto,Alto,La Paz
80.0,4.0,1.0,1.0,0.0,3602.0,0.0,0.0,12,0.0,6.0,03,003,M03.01,0300300012125008,bajo,Alto,Alto,La Paz
84.0,4.0,2.0,1.0,0.0,3187.0,0.0,0.0,43,0.0,6.0,03,003,M03.01,0300300012125044,bajo,Alto,Alto,La Paz
109.0,4.0,2.0,1.0,1.0,8956.0,0.0,0.0,60,2.0,40.0,03,003,M03.01,0300300012125037,bajo,Alto,Alto,La Paz
100.0,4.0,1.0,1.0,0.0,5294.0,0.0,0.0,59,2.0,20.0,03,003,M03.01,0300300012125029,bajo,Alto,Alto,La Paz
84.0,1.0,2.0,1.0,0.0,1823.0,0.0,0.0,69,0.0,6.0,03,003,M03.01,0300300013049030,medio,Intermedio,Intermedio,La Paz
54.0,1.0,2.0,1.0,0.0,1725.0,0.0,0.0,57,0.0,6.0,03,003,M03.01,0300300013049029,medio,Intermedio,Intermedio,La Paz
54.0,1.0,2.0,1.0,0.0,1725.0,0.0,0.0,73,0.0,6.0,03,003,M03.01,0300300013034003,medio,Intermedio,Intermedio,La Paz
54.0,1.0,2.0,1.0,0.0,1725.0,0.0,0.0,79,0.0,6.0,03,003,M03.01,0300300013034009,medio,Intermedio,Intermedio,La Paz
84.0,1.0,2.0,1.0,0.0,1823.0,0.0,0.0,63,0.0,6.0,03,003,M03.01,0300300013034013,medio,Intermedio,Intermedio,La Paz
84.0,1.0,2.0,1.0,0.0,1823.0,0.0,0.0,52,0.0,6.0,03,003,M03.01,0300300013034019,medio,Intermedio,Intermedio,La Paz
84.0,1.0,2.0,1.0,0.0,1823.0,0.0,0.0,34,0.0,6.0,03,003,M03.01,0300300013034022,medio,Intermedio,Intermedio,La Paz
112.0,4.0,3.0,1.0,0.0,4825.0,0.0,0.0,69,2.0,20.0,03,003,M03.01,0300300012125003,bajo,Alto,Alto,La Paz
109.0,4.0,2.0,1.0,1.0,8956.0,0.0,0.0,56,2.0,40.0,03,003,M03.01,0300300012214026,bajo,Alto,Alto,La Paz
109.0,4.0,2.0,1.0,1.0,8956.0,0.0,0.0,94,2.0,40.0,03,003,M03.01,0300300012214027,bajo,Alto,Alto,La Paz
102.0,4.0,4.0,1.0,0.0,7081.0,0.0,0.0,99,2.0,20.0,03,003,M03.01,0300300012214010,bajo,Alto,Alto,La Paz
112.0,4.0,3.0,1.0,0.0,4825.0,0.0,0.0,71,2.0,20.0,03,003,M03.01,0300300012125043,bajo,Alto,Alto,La Paz
100.0,4.0,1.0,1.0,0.0,5294.0,0.0,0.0,34,2.0,20.0,03,003,M03.01,0300300012125024,bajo,Alto,Alto,La Paz
100.0,4.0,1.0,1.0,0.0,5294.0,0.0,0.0,86,2.0,20.0,03,003,M03.01,0300300012125013,bajo,Alto,Alto,La Paz
80.0,4.0,1.0,1.0,0.0,3602.0,0.0,0.0,82,0.0,6.0,03,003,M03.01,0300300012125002,bajo,Alto,Alto,La Paz
84.0,4.0,2.0,1.0,0.0,3187.0,0.0,0.0,0,0.0,6.0,03,003,M03.01,0300300012125001,s/p,S/P,S/P,La Paz
112.0,4.0,3.0,1.0,0.0,4825.0,0.0,0.0,93,2.0,20.0,03,003,M03.01,0300300012125015,bajo,Alto,Alto,La Paz
109.0,4.0,2.0,1.0,1.0,8956.0,0.0,0.0,70,2.0,40.0,03,003,M03.01,0300300012214036,bajo,Alto,Alto,La Paz
55.0,1.0,2.0,1.0,0.0,795.0,0.0,0.0,30,0.0,6.0,03,003,M03.01,0300300013049015,medio,Intermedio,Intermedio,La Paz
14.0,0.0,1.0,0.0,0.0,61.0,0.0,0.0,9,0.0,1.0,03,003,M03.01,0300300014935001,alto,Bajo,Bajo,La Paz
18.0,0.0,1.0,0.0,0.0,86.0,0.0,0.0,9,0.0,1.0,03,003,M03.01,030030001416A010,alto,Bajo,Bajo,La Paz
2.0,0.0,0.0,0.0,0.0,1474.0,0.0,0.0,0,0.0,0.0,03,003,M03.01,0300300012267034,s/p,S/P,S/P,La Paz
2.0,0.0,0.0,0.0,0.0,1474.0,0.0,0.0,40,0.0,0.0,03,003,M03.01,0300300012267015,bajo,Alto,Alto,La Paz
115.0,2.0,3.0,0.0,1.0,13131.0,0.0,0.0,26,109.0,90.0,03,003,M03.01,0300300012267016,bajo,Alto,Alto,La Paz
128.0,2.0,3.0,0.0,1.0,14719.0,0.0,0.0,21,100.0,83.0,03,003,M03.01,0300300012267007,bajo,Alto,Alto,La Paz
119.0,1.0,3.0,0.0,1.0,14053.0,0.0,0.0,41,109.0,90.0,03,003,M03.01,0300300012267006,bajo,Alto,Alto,La Paz
115.0,2.0,3.0,0.0,1.0,13131.0,0.0,0.0,41,109.0,90.0,03,003,M03.01,0300300012267005,bajo,Alto,Alto,La Paz
37.0,3.0,0.0,0.0,0.0,5774.0,0.0,0.0,87,0.0,20.0,03,003,M03.01,0300300013034015,medio,Intermedio,Intermedio,La Paz
128.0,2.0,3.0,0.0,1.0,14719.0,0.0,0.0,0,100.0,83.0,03,003,M03.01,0300300012267020,s/p,S/P,S/P,La Paz
55.0,1.0,2.0,0.0,0.0,512.0,0.0,0.0,64,0.0,6.0,03,003,M03.01,0300300013049004,medio,Intermedio,Intermedio,La Paz
25.0,0.0,2.0,0.0,0.0,229.0,0.0,0.0,34,0.0,6.0,03,003,M03.01,0300300013049037,medio,Intermedio,Intermedio,La Paz
25.0,0.0,2.0,0.0,0.0,229.0,0.0,0.0,6,0.0,6.0,03,003,M03.01,0300300013049043,medio,Intermedio,Intermedio,La Paz
25.0,0.0,2.0,0.0,0.0,229.0,0.0,0.0,49,0.0,6.0,03,003,M03.01,0300300013049010,medio,Intermedio,Intermedio,La Paz
25.0,0.0,2.0,0.0,0.0,229.0,0.0,0.0,35,0.0,6.0,03,003,M03.01,0300300013049016,medio,Intermedio,Intermedio,La Paz
25.0,0.0,2.0,0.0,0.0,229.0,0.0,0.0,9,0.0,6.0,03,003,M03.01,0300300013049039,medio,Intermedio,Intermedio,La Paz
25.0,0.0,2.0,0.0,0.0,229.0,0.0,0.0,30,0.0,6.0,03,003,M03.01,0300300013049033,medio,Intermedio,Intermedio,La Paz
25.0,0.0,2.0,0.0,0.0,229.0,0.0,0.0,32,0.0,6.0,03,003,M03.01,0300300013049040,medio,Intermedio,Intermedio,La Paz
55.0,1.0,2.0,0.0,0.0,512.0,0.0,0.0,65,0.0,6.0,03,003,M03.01,0300300013049042,medio,Intermedio,Intermedio,La Paz
55.0,1.0,2.0,0.0,0.0,512.0,0.0,0.0,11,0.0,6.0,03,003,M03.01,0300300013049007,medio,Intermedio,Intermedio,La Paz
34.0,1.0,2.0,0.0,0.0,348.0,0.0,0.0,39,0.0,6.0,03,003,M03.01,0300300013049018,medio,Intermedio,Intermedio,La Paz
148.0,5.0,4.0,1.0,1.0,12623.0,0.0,0.0,42,2.0,34.0,03,003,M03.01,030030001213A013,bajo,Muy Alto,Alto,La Paz
143.0,5.0,3.0,0.0,1.0,14351.0,0.0,0.0,55,100.0,87.0,03,003,M03.01,030030001213A030,bajo,Muy Alto,Alto,La Paz
145.0,4.0,5.0,0.0,1.0,13486.0,0.0,0.0,75,100.0,83.0,03,003,M03.01,030030001213A031,bajo,Muy Alto,Alto,La Paz
145.0,4.0,5.0,0.0,1.0,13486.0,0.0,0.0,40,100.0,83.0,03,003,M03.01,0300300012252024,bajo,Alto,Alto,La Paz
145.0,4.0,5.0,0.0,1.0,13486.0,0.0,0.0,46,100.0,83.0,03,003,M03.01,0300300012267041,bajo,Alto,Alto,La Paz
136.0,4.0,4.0,0.0,1.0,14761.0,0.0,0.0,46,100.0,83.0,03,003,M03.01,0300300012144038,muy bajo,Muy Alto,Muy Alto,La Paz
136.0,2.0,4.0,0.0,1.0,13357.0,0.0,0.0,39,100.0,83.0,03,003,M03.01,0300300012267040,bajo,Alto,Alto,La Paz
115.0,2.0,3.0,0.0,1.0,13131.0,0.0,0.0,38,109.0,90.0,03,003,M03.01,0300300012267018,bajo,Alto,Alto,La Paz
25.0,0.0,2.0,0.0,0.0,229.0,0.0,0.0,39,0.0,6.0,03,003,M03.01,0300300013049034,medio,Intermedio,Intermedio,La Paz
25.0,0.0,2.0,0.0,0.0,229.0,0.0,0.0,45,0.0,6.0,03,003,M03.01,0300300013049017,medio,Intermedio,Intermedio,La Paz
25.0,0.0,2.0,0.0,0.0,229.0,0.0,0.0,73,0.0,6.0,03,003,M03.01,0300300013049023,medio,Intermedio,Intermedio,La Paz
34.0,1.0,2.0,0.0,0.0,348.0,0.0,0.0,41,0.0,6.0,03,003,M03.01,0300300013049019,medio,Intermedio,Intermedio,La Paz
34.0,1.0,2.0,0.0,0.0,348.0,0.0,0.0,38,0.0,6.0,03,003,M03.01,0300300013049011,medio,Intermedio,Intermedio,La Paz
55.0,1.0,2.0,0.0,0.0,512.0,0.0,0.0,29,0.0,6.0,03,003,M03.01,0300300013049041,medio,Intermedio,Intermedio,La Paz
34.0,1.0,2.0,0.0,0.0,348.0,0.0,0.0,47,0.0,6.0,03,003,M03.01,0300300013049008,medio,Intermedio,Intermedio,La Paz
55.0,1.0,2.0,0.0,0.0,512.0,0.0,0.0,36,0.0,6.0,03,003,M03.01,0300300013049003,medio,Intermedio,Intermedio,La Paz
128.0,2.0,3.0,0.0,1.0,14719.0,0.0,0.0,0,100.0,83.0,03,003,M03.01,0300300012267021,s/p,S/P,S/P,La Paz
25.0,0.0,2.0,0.0,0.0,229.0,0.0,0.0,31,0.0,6.0,03,003,M03.01,0300300013049044,medio,Intermedio,Intermedio,La Paz
25.0,0.0,2.0,0.0,0.0,229.0,0.0,0.0,39,0.0,6.0,03,003,M03.01,0300300013049035,medio,Intermedio,Intermedio,La Paz
136.0,2.0,4.0,0.0,1.0,13357.0,0.0,0.0,29,100.0,83.0,03,003,M03.01,0300300012267019,bajo,Alto,Alto,La Paz
143.0,5.0,3.0,0.0,1.0,14351.0,0.0,0.0,28,100.0,87.0,03,003,M03.01,030030001213A029,bajo,Muy Alto,Alto,La Paz
100.0,5.0,4.0,1.0,1.0,11953.0,0.0,0.0,0,2.0,34.0,03,003,M03.01,030030001213A001,s/p,S/P,S/P,La Paz
62.0,3.0,3.0,1.0,1.0,8634.0,0.0,0.0,102,2.0,34.0,03,003,M03.01,0300300013034026,medio,Intermedio,Intermedio,La Paz
80.0,3.0,2.0,1.0,1.0,8348.0,0.0,0.0,71,2.0,40.0,03,003,M03.01,0300300012125034,bajo,Alto,Alto,La Paz
94.0,4.0,3.0,1.0,1.0,10150.0,0.0,0.0,78,2.0,40.0,03,003,M03.01,030030001213A021,bajo,Muy Alto,Alto,La Paz
80.0,3.0,2.0,1.0,1.0,8348.0,0.0,0.0,123,2.0,40.0,03,003,M03.01,0300300013034016,medio,Intermedio,Intermedio,La Paz
54.0,1.0,2.0,1.0,0.0,1725.0,0.0,0.0,70,0.0,6.0,03,003,M03.01,0300300013049028,medio,Intermedio,Intermedio,La Paz
54.0,1.0,2.0,1.0,0.0,1725.0,0.0,0.0,34,0.0,6.0,03,003,M03.01,0300300013049031,medio,Intermedio,Intermedio,La Paz
100.0,5.0,4.0,1.0,1.0,11953.0,0.0,0.0,106,2.0,34.0,03,003,M03.01,030030001213A002,bajo,Muy Alto,Alto,La Paz
100.0,5.0,4.0,1.0,1.0,11953.0,0.0,0.0,78,2.0,34.0,03,003,M03.01,030030001213A008,bajo,Muy Alto,Alto,La Paz
143.0,5.0,3.0,0.0,1.0,14351.0,0.0,0.0,74,100.0,87.0,03,003,M03.01,030030001213A012,bajo,Muy Alto,Alto,La Paz
148.0,5.0,4.0,1.0,1.0,12623.0,0.0,0.0,48,2.0,34.0,03,003,M03.01,030030001213A003,bajo,Muy Alto,Alto,La Paz
59.0,1.0,3.0,1.0,0.0,809.0,0.0,0.0,73,0.0,6.0,03,003,M03.01,0300300013049012,medio,Intermedio,Intermedio,La Paz
59.0,1.0,3.0,1.0,0.0,809.0,0.0,0.0,105,0.0,6.0,03,003,M03.01,0300300013049020,medio,Intermedio,Intermedio,La Paz
59.0,1.0,3.0,1.0,0.0,809.0,0.0,0.0,105,0.0,6.0,03,003,M03.01,0300300013049013,medio,Intermedio,Intermedio,La Paz
59.0,1.0,3.0,1.0,0.0,809.0,0.0,0.0,63,0.0,6.0,03,003,M03.01,0300300013049009,medio,Intermedio,Intermedio,La Paz
100.0,5.0,4.0,1.0,1.0,11953.0,0.0,0.0,85,2.0,34.0,03,003,M03.01,030030001213A007,bajo,Muy Alto,Alto,La Paz
14.0,0.0,1.0,0.0,0.0,61.0,0.0,0.0,3,0.0,1.0,03,003,M03.01,030030001416A006,alto,Bajo,Bajo,La Paz
11.0,0.0,1.0,0.0,0.0,61.0,0.0,0.0,3,0.0,1.0,03,003,M03.01,030030001416A011,alto,Bajo,Bajo,La Paz
124.0,1.0,5.0,0.0,1.0,13114.0,0.0,0.0,28,109.0,70.0,03,003,M03.01,0300300012267014,bajo,Alto,Alto,La Paz
124.0,1.0,5.0,0.0,1.0,13114.0,0.0,0.0,17,109.0,70.0,03,003,M03.01,0300300012267033,bajo,Alto,Alto,La Paz
124.0,1.0,5.0,0.0,1.0,13114.0,0.0,0.0,5,109.0,70.0,03,003,M03.01,0300300012267032,bajo,Alto,Alto,La Paz
24.0,0.0,2.0,1.0,0.0,84.0,0.0,0.0,15,0.0,1.0,03,003,M03.01,0300300013890024,muy alto,Bajo,Muy Bajo,La Paz
9.0,0.0,0.0,0.0,0.0,284.0,561.0,0.0,0,0.0,0.0,03,003,M03.01,0300300012197007,s/p,S/P,S/P,La Paz
7.0,0.0,0.0,0.0,0.0,263.0,561.0,0.0,20,0.0,0.0,03,003,M03.01,0300300012197015,muy bajo,Muy Alto,Muy Alto,La Paz
7.0,0.0,0.0,0.0,0.0,263.0,561.0,0.0,8,0.0,0.0,03,003,M03.01,0300300012197024,muy bajo,Muy Alto,Muy Alto,La Paz
1.0,0.0,0.0,0.0,0.0,219.0,561.0,0.0,0,0.0,0.0,03,003,M03.01,0300300012197027,s/p,S/P,S/P,La Paz
1.0,0.0,0.0,0.0,0.0,219.0,561.0,0.0,15,0.0,0.0,03,003,M03.01,0300300012197023,muy bajo,Muy Alto,Muy Alto,La Paz
1.0,0.0,0.0,0.0,0.0,204.0,561.0,0.0,16,0.0,0.0,03,003,M03.01,0300300012197021,muy bajo,Muy Alto,Muy Alto,La Paz
1.0,0.0,0.0,0.0,0.0,219.0,561.0,0.0,4,0.0,0.0,03,003,M03.01,0300300012197026,muy bajo,Muy Alto,Muy Alto,La Paz
1.0,0.0,0.0,0.0,0.0,421.0,8.0,0.0,0,0.0,0.0,03,003,M03.01,0300300012197040,s/p,S/P,S/P,La Paz
1.0,0.0,0.0,0.0,0.0,271.0,8.0,0.0,2,0.0,0.0,03,003,M03.01,0300300012197029,muy bajo,Muy Alto,Muy Alto,La Paz
1.0,0.0,0.0,0.0,0.0,271.0,8.0,0.0,0,0.0,0.0,03,003,M03.01,0300300012197041,s/p,S/P,S/P,La Paz
1.0,0.0,0.0,0.0,0.0,219.0,0.0,0.0,0,0.0,0.0,03,003,M03.01,0300300012197039,s/p,S/P,S/P,La Paz
1.0,0.0,0.0,0.0,0.0,204.0,561.0,0.0,0,0.0,0.0,03,003,M03.01,0300300012197037,s/p,S/P,S/P,La Paz
2.0,0.0,0.0,0.0,0.0,650.0,8.0,0.0,0,0.0,0.0,03,003,M03.01,0300300012197042,s/p,S/P,S/P,La Paz
1.0,0.0,0.0,0.0,0.0,204.0,561.0,0.0,8,0.0,0.0,03,003,M03.01,0300300012197022,muy bajo,Muy Alto,Muy Alto,La Paz
102.0,0.0,1.0,1.0,0.0,1745.0,0.0,0.0,109,0.0,3.0,03,003,M03.01,0300300013208004,medio,Alto,Intermedio,La Paz
102.0,0.0,1.0,1.0,0.0,1745.0,0.0,0.0,55,0.0,3.0,03,003,M03.01,0300300013208028,medio,Alto,Intermedio,La Paz
102.0,0.0,1.0,1.0,0.0,1745.0,0.0,0.0,87,0.0,3.0,03,003,M03.01,0300300013208015,medio,Alto,Intermedio,La Paz
102.0,0.0,1.0,1.0,0.0,1745.0,0.0,0.0,40,0.0,3.0,03,003,M03.01,0300300013208016,medio,Alto,Intermedio,La Paz
102.0,0.0,1.0,1.0,0.0,1745.0,0.0,0.0,41,0.0,3.0,03,003,M03.01,0300300013208005,medio,Alto,Intermedio,La Paz
102.0,0.0,1.0,1.0,0.0,1745.0,0.0,0.0,43,0.0,3.0,03,003,M03.01,0300300013208014,medio,Alto,Intermedio,La Paz
74.0,0.0,1.0,0.0,0.0,1273.0,0.0,0.0,77,0.0,3.0,03,003,M03.01,0300300013208013,medio,Alto,Intermedio,La Paz
74.0,0.0,1.0,0.0,0.0,1273.0,0.0,0.0,21,0.0,3.0,03,003,M03.01,0300300013208020,medio,Alto,Intermedio,La Paz
74.0,0.0,1.0,0.0,0.0,1273.0,0.0,0.0,38,0.0,3.0,03,003,M03.01,0300300013208019,medio,Alto,Intermedio,La Paz
74.0,0.0,1.0,0.0,0.0,1273.0,0.0,0.0,99,0.0,3.0,03,003,M03.01,0300300013208017,medio,Alto,Intermedio,La Paz
74.0,0.0,1.0,0.0,0.0,1273.0,0.0,0.0,77,0.0,3.0,03,003,M03.01,0300300013208011,medio,Alto,Intermedio,La Paz
74.0,0.0,1.0,0.0,0.0,1273.0,0.0,0.0,70,0.0,3.0,03,003,M03.01,0300300013208018,medio,Alto,Intermedio,La Paz
114.0,2.0,6.0,0.0,0.0,2598.0,0.0,0.0,74,0.0,3.0,03,003,M03.01,0300300013208030,medio,Alto,Intermedio,La Paz
118.0,0.0,4.0,1.0,0.0,2451.0,0.0,0.0,55,0.0,3.0,03,003,M03.01,0300300013208029,medio,Alto,Intermedio,La Paz
118.0,0.0,4.0,1.0,0.0,2451.0,0.0,0.0,0,0.0,3.0,03,003,M03.01,0300300013208026,s/p,S/P,S/P,La Paz
118.0,0.0,4.0,1.0,0.0,2451.0,0.0,0.0,69,0.0,3.0,03,003,M03.01,0300300013195002,bajo,Alto,Alto,La Paz
118.0,0.0,4.0,1.0,0.0,2451.0,0.0,0.0,32,0.0,3.0,03,003,M03.01,0300300013195010,bajo,Alto,Alto,La Paz
130.0,0.0,5.0,1.0,0.0,2298.0,0.0,0.0,70,0.0,3.0,03,003,M03.01,0300300013195015,bajo,Alto,Alto,La Paz
130.0,0.0,5.0,1.0,0.0,2298.0,0.0,0.0,57,0.0,3.0,03,003,M03.01,0300300013195021,bajo,Alto,Alto,La Paz
130.0,0.0,5.0,1.0,0.0,2298.0,0.0,0.0,55,0.0,3.0,03,003,M03.01,0300300013195025,bajo,Alto,Alto,La Paz
134.0,0.0,4.0,1.0,0.0,1563.0,313.0,0.0,71,0.0,3.0,03,003,M03.01,0300300013424022,bajo,Alto,Alto,La Paz
134.0,0.0,4.0,1.0,0.0,1563.0,313.0,0.0,78,0.0,3.0,03,003,M03.01,0300300013424011,bajo,Alto,Alto,La Paz
114.0,0.0,1.0,1.0,0.0,1784.0,0.0,0.0,54,0.0,3.0,03,003,M03.01,0300300013424024,bajo,Alto,Alto,La Paz
134.0,0.0,4.0,1.0,0.0,1563.0,313.0,0.0,43,0.0,3.0,03,003,M03.01,0300300013424023,bajo,Alto,Alto,La Paz
130.0,0.0,5.0,1.0,0.0,2298.0,0.0,0.0,42,0.0,3.0,03,003,M03.01,0300300013424013,bajo,Alto,Alto,La Paz
134.0,0.0,4.0,1.0,0.0,1563.0,313.0,0.0,55,0.0,3.0,03,003,M03.01,0300300013424012,bajo,Alto,Alto,La Paz
147.0,0.0,8.0,1.0,0.0,2076.0,313.0,0.0,45,0.0,3.0,03,003,M03.01,0300300013424004,bajo,Alto,Alto,La Paz
134.0,0.0,4.0,1.0,0.0,1563.0,313.0,0.0,43,0.0,3.0,03,003,M03.01,0300300013424003,bajo,Alto,Alto,La Paz
134.0,0.0,4.0,1.0,0.0,1563.0,313.0,0.0,34,0.0,3.0,03,003,M03.01,0300300013424001,bajo,Alto,Alto,La Paz
134.0,0.0,4.0,1.0,0.0,1563.0,313.0,0.0,43,0.0,3.0,03,003,M03.01,0300300013424002,bajo,Alto,Alto,La Paz
134.0,0.0,4.0,1.0,0.0,1563.0,313.0,0.0,25,0.0,3.0,03,003,M03.01,0300300013424009,bajo,Alto,Alto,La Paz
130.0,0.0,3.0,1.0,0.0,1476.0,313.0,0.0,45,0.0,3.0,03,003,M03.01,0300300013424008,bajo,Alto,Alto,La Paz
147.0,0.0,8.0,1.0,0.0,2076.0,313.0,0.0,38,0.0,3.0,03,003,M03.01,0300300013424006,bajo,Alto,Alto,La Paz
106.0,0.0,3.0,0.0,0.0,987.0,313.0,0.0,45,0.0,3.0,03,003,M03.01,0300300013443022,medio,Alto,Intermedio,La Paz
130.0,0.0,3.0,1.0,0.0,1476.0,313.0,0.0,58,0.0,3.0,03,003,M03.01,0300300013424019,bajo,Alto,Alto,La Paz
130.0,0.0,3.0,1.0,0.0,1476.0,313.0,0.0,60,0.0,3.0,03,003,M03.01,0300300013424018,bajo,Alto,Alto,La Paz
106.0,0.0,3.0,0.0,0.0,987.0,313.0,0.0,42,0.0,3.0,03,003,M03.01,0300300013443021,medio,Alto,Intermedio,La Paz
106.0,0.0,3.0,0.0,0.0,987.0,313.0,0.0,6,0.0,3.0,03,003,M03.01,0300300013443029,medio,Alto,Intermedio,La Paz
106.0,0.0,3.0,0.0,0.0,987.0,313.0,0.0,48,0.0,3.0,03,003,M03.01,0300300013443030,medio,Alto,Intermedio,La Paz
106.0,0.0,3.0,0.0,0.0,987.0,313.0,0.0,65,0.0,3.0,03,003,M03.01,0300300013443023,medio,Alto,Intermedio,La Paz
106.0,0.0,3.0,0.0,0.0,987.0,313.0,0.0,32,0.0,3.0,03,003,M03.01,0300300013458005,bajo,Alto,Alto,La Paz
130.0,0.0,3.0,1.0,0.0,1476.0,313.0,0.0,65,0.0,3.0,03,003,M03.01,0300300013443024,medio,Alto,Intermedio,La Paz
84.0,0.0,3.0,0.0,0.0,931.0,313.0,0.0,0,0.0,3.0,03,003,M03.01,0300300013443028,s/p,S/P,S/P,La Paz
85.0,2.0,4.0,0.0,0.0,1946.0,0.0,0.0,63,0.0,3.0,03,003,M03.01,0300300013208031,medio,Alto,Intermedio,La Paz
147.0,0.0,8.0,1.0,0.0,2076.0,313.0,0.0,60,0.0,3.0,03,003,M03.01,0300300013424005,bajo,Alto,Alto,La Paz
130.0,0.0,3.0,1.0,0.0,1476.0,313.0,0.0,83,0.0,3.0,03,003,M03.01,0300300013443026,medio,Alto,Intermedio,La Paz
147.0,0.0,8.0,1.0,0.0,2076.0,313.0,0.0,61,0.0,3.0,03,003,M03.01,0300300013424016,bajo,Alto,Alto,La Paz
85.0,2.0,4.0,0.0,0.0,1946.0,0.0,0.0,123,0.0,3.0,03,003,M03.01,0300300013208021,medio,Alto,Intermedio,La Paz
118.0,0.0,4.0,1.0,0.0,2451.0,0.0,0.0,109,0.0,3.0,03,003,M03.01,0300300013195009,bajo,Alto,Alto,La Paz
76.0,0.0,1.0,0.0,0.0,1321.0,0.0,0.0,36,0.0,3.0,03,003,M03.01,0300300013439011,medio,Alto,Intermedio,La Paz
76.0,0.0,1.0,0.0,0.0,1321.0,0.0,0.0,50,0.0,3.0,03,003,M03.01,0300300013439003,medio,Alto,Intermedio,La Paz
